What country do you live in currently?,What industry do you work in?,Other,"In the following list, what best describes the work you do?",Other,What level are you in your role?,How long have you worked remotely?,What percentage of the time do you work remotely?,Which of the following statements best describes you:,"Would you like to work remotely, at least some of the time, for the rest of your career?",Do you encourage others to work remotely? (This can be anyone in your life from coworkers to friends and family.),What’s your biggest struggle with working remotely?,Other,What’s the biggest benefit you see to working remotely?,Other,How much vacation did you take in the past year?,How much vacation time does your company offer each year?,What location do you primarily work from?,Other,What is the second most common location that you work from?,Other,"How often do you travel outside of your home city and work at the same time? (This includes work retreats, conferences, and any time you’re working in a different city.) ",Which description best suits you?,Did you always intend to support remote work?,What is your company's stance on remote work?,How many full-time employees does your company have?,What percentage of your company works remotely?,Does your company pay for your home internet?,Does your company cover the cost of a coworking membership?,Does your company cover the cost of drinks/food at coffee shops?,Are there any other costs of working remotely that your company covers?,"If you work from coffee shops, how much do you spend at coffee shops per week? (in USD)","If you work from coworking spaces, how much do you spend for yourself on coworking spaces per month? (in USD)",How much do you earn per year in USD? (We are not gathering your name or email address so this information will not be able to be used to identify you.),What has surprised you most about working remotely?,Anything else you want to add that we didn’t ask about?
United States,Software,,Engineering,,Senior level,1 year to 4 years,76 to 99%,I would like to work remotely more often.,1,1,Loneliness,,Ability to have a flexible schedule,,More than 6 weeks,2 weeks,Coworking spaces,,Coffee shops and cafes,,Very frequently (More than six months of the year),Freelancer / Self-employed,,,,,,,,,More than $30,Between $201 and $300,"Over $200,000",I miss team lunches and other types of bonding that you get from working in close proximity with others.,"I worry I missed career opportunities by only working remotely. The big tech companies do not support it (FANG). If they did, I would have pursued them harder."
South Africa,Software,,Engineering,,Senior level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,The flexibility to work from any location,,None,Unlimited,Coworking spaces,,Coffee shops and cafes,,Always,Freelancer / Self-employed,,,,,,,,,Between $20 and $30,Between $101 and $200,"$100,000 to $125,000",How easy it is once you get the hang of it.,Digital nomadism FTW
United States,Education,,Leadership,,Professional level,Less than six months,1 to 25%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,2 weeks,3 weeks,,Public Building,Home,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,Fewer than 10,100%,No,Yes,No,"Computer
",,,"$50,001 to $75,000","
","
"
United States,Software,,Engineering,,Entry level,Less than six months,1 to 25%,I would like to work remotely more often.,1,1,Loneliness,,The flexibility to work from any location,,None,3 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,At my company we can work remotely a certain number of days per week/month,11 to 50,26 to 50%,No,No,No,None,Between $5 and $10,Between $1 and $100,"$25,001 to $50,000",I can more easily make a schedule and agenda for myself and focus on one thing at a time.,no
United States,,Real Estate,Leadership,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to work from home,,6 weeks,Unlimited,Home,,Not applicable,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,,"$125,001 to $150,000",Freedom from distractions,
United States,Software,,Operations,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to have a flexible schedule,,5 weeks,Unlimited,Home,,Coffee shops and cafes,,Almost all the time,Employee,,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,"$250/month stipend, books, and ""office supplies""",Between $11 and $20,,"$25,001 to $50,000",The flexibility and how much I can get done in a short amount of time,Nope!
Italy,Travel and Tourism,,Operations,,Entry level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,The flexibility to work from any location,,2 weeks,3 weeks,Coworking spaces,,Coffee shops and cafes,,Always,Freelancer / Self-employed,,,,,,,,,Between $5 and $10,Between $101 and $200,"up to $25,000",How easy it is,you rock :)
United States,Medical and Healthcare,,Marketing and Advertising,,Management level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,2 weeks,2 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,no,Between $11 and $20,,"$50,001 to $75,000",quality of life. Easier to turn off than i expected because i close up my office space.,
Italy,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,The flexibility to work from any location,,4 weeks,4 weeks,Home,,Home,,Sometimes (Between one week and one month per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,76 to 99%,No,Partially,Partially,Gear,Between $1 and $5,Between $1 and $100,"$50,001 to $75,000",The freedom,
Brazil,IT and Services,,Leadership,,Executive level,More than 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to spend time with family,,2 weeks,6 weeks,Home,,Coworking spaces,,Frequently (Between one and six months per year),Business owner,1,Part of the team is full-time remote and part of the team works out of the same office.,Fewer than 10,26 to 50%,Yes,Yes,No,Anything I need to get my job done.,Between $11 and $20,Between $101 and $200,"$75,001 to $100,000",My efficiency.,No
Argentina,Travel and Tourism,,Marketing and Advertising,,Management level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to have a flexible schedule,,Less than 1 week,None,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $5 and $10,,"up to $25,000",Improving my organizing & managments skills,
Spain,Marketing,,Marketing and Advertising,,Management level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to spend time with family,,3 weeks,4 weeks,Home,,Coworking spaces,,Frequently (Between one and six months per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,No,Between $11 and $20,Between $101 and $200,"$25,001 to $50,000",Freedom,Thank you!
Peru,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to spend time with family,,3 weeks,2 weeks,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,11 to 50,76 to 99%,No,No,No,NO,Between $11 and $20,Between $101 and $200,"$25,001 to $50,000",The productivity you reach.,We should encourage more companies to start working remotely. They can see the multiple benefits of remote work.
Slovenia,IT and Services,,Customer Support,,Professional level,Less than six months,51 to 75%,I would like to work remotely more often.,1,1,Loneliness,,Ability to have a flexible schedule,,5 weeks,More than 6 weeks,Home,,Coworking spaces,,Never,Freelancer / Self-employed,,,,,,,,,Between $1 and $5,Between $101 and $200,"up to $25,000",,
United States,IT and Services,,Marketing and Advertising,,Management level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to work from home,,2 weeks,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,76 to 99%,Yes,Yes,No,No,Between $11 and $20,Between $201 and $300,"$100,000 to $125,000",How it can be isolating at times,
United States,,Internet,Operations,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,None,None,Home,,Home,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,Between $1 and $100,"$75,001 to $100,000",How productive I can be,
United States,Non-profit,,Marketing and Advertising,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,The flexibility to work from any location,,2 weeks,3 weeks,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,51 to 75%,No,No,No,,Between $5 and $10,,"$25,001 to $50,000",,
United States,,Health and wellness,Leadership,,Senior level,6 months to 11 months,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,The flexibility to work from any location,,3 weeks,2 weeks,Coworking spaces,,Home,,Infrequently (Less than a week per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,76 to 99%,No,Yes,No,Mobile phone,Between $5 and $10,Between $201 and $300,"$100,000 to $125,000",Missing the talking to peers face to face,
Canada,Education,,Finances,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,5 weeks,5 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"501 to 1,000",76 to 99%,Yes,No,No,No,Between $1 and $5,,"$50,001 to $75,000",How much time I get back in my day.,You should ask people about childcare. That’s tricky in remote roles.
United States,Software,,Engineering,,Senior level,1 year to 4 years,100%,I would like to work remotely less often.,1,0,Loneliness,,The flexibility to work from any location,,2 weeks,4 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,"More than 1,001",1 to 25%,No,No,No,,,More than $500,"Over $200,000",That not many teams and companies prefer remote employees.,
United States,Media and Publishing,,Leadership,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to work from home,,1 week,Unlimited,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,,"$25,001 to $50,000","How easy it is to make working from home largely invisible/irrelevant to clients, partners, suppliers, etc.",The critical point you seem to overlook is the need to get face-to-face with video calls and in person meetings. I don't think remote work is sustainable long-term without building those into your tools and workflow.
United Kingdom,IT and Services,,Operations,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,The flexibility to work from any location,,4 weeks,4 weeks,Home,,Home,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",1 to 25%,No,No,No,,,,"$50,001 to $75,000",My productivity is higher than working in an office.,
India,Software,,Engineering,,Professional level,1 year to 4 years,100%,I would like to work remotely more often.,1,1,Distractions at home,,The flexibility to work from any location,,None,None,Home,,Not applicable,,Never,Freelancer / Self-employed,,,,,,,,,Between $1 and $5,Between $1 and $100,"up to $25,000",,
United States,Marketing,,Marketing and Advertising,,Management level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Ability to have a flexible schedule,,More than 6 weeks,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,,"$50,001 to $75,000",,
