Do you work remotely sometimes?,What country do you live in currently?,What industry do you work in?,Other,"In the following list, what best describes the work you do?",Other,What level are you in your role?,How long have you worked remotely?,What percentage of the time do you work remotely?,Which of the following statements best describes you:,"Would you like to work remotely, at least some of the time, for the rest of your career?",Would you recommend remote work to others?,What’s your biggest struggle with working remotely?,Other,What’s the biggest benefit you see to working remotely?,Other,How much vacation did you take in the past year?,How much vacation time does your company offer each year?,What location do you primarily work from?,Other,What is the second most common location that you work from?,Other,"How often do you travel outside of your home city and work at the same time? (This includes work retreats, conferences, and any time you’re working in a different city.) ",Which description best suits you?,Did you always intend to support remote work?,What is your company's stance on remote work?,How many full-time employees does your company have?,What percentage of your company works remotely?,Does your company pay for your home internet?,24. Does your company pay for your cell phone?,Does your company cover the cost of a coworking membership?,Does your company cover the cost of drinks/food at coffee shops?,Are there any other costs of working remotely that your company covers?,"If you work from coffee shops, how much do you spend at coffee shops per week? (in USD)","If you work from coworking spaces, how much do you spend for yourself on coworking spaces per month? (in USD)",How much do you earn per year in USD?,What has surprised you most about working remotely?,Anything else you want to add that we didn’t ask about?
1,Estonia,Media and Publishing,,Product,,Professional level,Less than six months,1 to 25%,I would like to work remotely more often.,1,1,Staying motivated,,Ability to have a flexible schedule,,3 weeks,6 weeks,Coworking spaces,,Company's office,,Infrequently (Less than a week per year),Business owner,1,At my company we can work remotely a certain number of days per week/month,Fewer than 10,26 to 50%,No,Yes,Yes,Yes,Travel,Between $1 and $5,Between $1 and $100,"up to $25,000",You are in full control,Nothing
1,Estonia,Marketing,,Leadership,,Professional level,Less than six months,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,More than 6 weeks,4 weeks,Coffee shops,,Home,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $20 and $30,Not applicable,"up to $25,000",networking opportunities,
1,Estonia,Software,,Engineering,,Professional level,6 months to 11 months,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Not having to commute,,3 weeks,5 weeks,Company's office,,Home,,Sometimes (Between one week and one month per year),Employee,,At my company we can work remotely a certain number of days per week/month,51 to 100,1 to 25%,No,Yes,No,No,no,Not applicable,Not applicable,"$25,001 to $50,000",Inability to focus,
1,Estonia,Software,,Engineering,,Professional level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Not having to commute,,1 week,4 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"$50,001 to $75,000","I’m able to focus a lot more on what I do, with less distractions around me.",
1,Estonia,Software,,Product,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Ability to have a flexible schedule,,4 weeks,4 weeks,Home,,Not applicable,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,51 to 100,100%,Yes,Partially,Yes,No,Home office equipment,Not applicable,Between $101 and $200,"$50,001 to $75,000",,
1,Estonia,IT and Services,,Design,,Professional level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,1,,Keep moving and exercise enough,Flexibility to work from any location,,5 weeks,4 weeks,Home,,Coworking spaces,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,51 to 100,100%,Yes,Yes,Yes,No,"massage, office setup, physical health related activities, mental health related activities, learnings, conferences, ",Not applicable,Between $101 and $200,"$25,001 to $50,000",Freedom and trust towards me from my company,
1,Estonia,E-commerce,,Marketing and Advertising,,Management level,More than 4 years,76 to 99%,I would like to work remotely more often.,1,1,Taking vacation time,,Ability to spend time with family,,1 week,None,Home,,Coffee shops,,Infrequently (Less than a week per year),Business owner,1,Part of the team is full-time remote and part of the team works out of the same office.,Fewer than 10,26 to 50%,Yes,Yes,No,Yes,computer,Between $1 and $5,Not applicable,"$25,001 to $50,000",how much less stressful it is,difficulty to convince people to accept to offer remote work for job that COULD use it
1,Estonia,Software,,Human Resources,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,4 weeks,4 weeks,Coworking spaces,,Home,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,51 to 100,100%,Yes,No,Yes,No,Home office setup budget,Not applicable,Between $201 and $300,"$50,001 to $75,000",That you can become very close with colleagues who you meet in real life only a few weeks per year.,
1,Ethiopia,Software,,Engineering,,Professional level,1 year to 4 years,1 to 25%,I would like to work remotely more often.,1,1,Loneliness,,Flexibility to work from any location,,More than 6 weeks,Unlimited,Coffee shops,,Home,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,,Between $11 and $20,Between $1 and $100,"up to $25,000",It's not as freeing as it's painted,
1,Finland,Government,,Data,,Senior level,More than 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Flexibility to work from any location,,2 weeks,4 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,"More than 1,001",26 to 50%,No,Yes,No,No,no,Between $5 and $10,Not applicable,"$50,001 to $75,000",Not so easy to be efficient.,\-
1,Finland,IT and Services,,Leadership,,Executive level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Flexibility to work from any location,,2 weeks,Unlimited,Home,,Coworking spaces,,Frequently (Between one and six months per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,Partially,Yes,Yes,Yes,,Between $20 and $30,Between $301 and $400,"$100,000 to $125,000",,
1,Finland,Software,,Engineering,,Professional level,More than 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,5 weeks,5 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,"More than 1,001",51 to 75%,No,No,No,Partially,Hardware & software,Between $5 and $10,Not applicable,"$75,001 to $100,000",,
1,Finland,Software,,Engineering,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,Flexibility to work from any location,,3 weeks,Unlimited,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,"More than 1,001",100%,No,No,Partially,Partially,Computers,Not applicable,Not applicable,"$50,001 to $75,000",easy to get into,
1,Finland,Education,,Engineering,,Management level,1 year to 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Flexibility to work from any location,,More than 6 weeks,Unlimited,Libraries,,Coffee shops,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $11 and $20,Not applicable,"$100,000 to $125,000",The effort required to be self driven,
1,Finland,Software,,Product,,Senior level,6 months to 11 months,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Flexibility to work from any location,,2 weeks,4 weeks,Home,,,Train,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",1 to 25%,Yes,No,No,No,Laptop,More than $30,Between $201 and $300,"$75,001 to $100,000",\-,\-
1,Finland,Software,,Engineering,,Senior level,1 year to 4 years,1 to 25%,I would like to work remotely more often.,1,1,Difficulties with collaboration and communication,,Ability to have a flexible schedule,,4 weeks,4 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,At my company we can work remotely a certain number of days per week/month,"More than 1,001",1 to 25%,No,Yes,No,No,No,Between $1 and $5,Not applicable,"$75,001 to $100,000",That people do not understand they could work remotely. They come to the office and all their interactions are remote. Still they do not consider possible to do the same thing from any other location.,No
1,France,Software,,Engineering,,Senior level,Less than six months,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Flexibility to work from any location,,3 weeks,5 weeks,Home,,,Other remote mates’ homes,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,1 to 25%,No,No,Partially,No,Partipate to Home equipment (400€),Not applicable,Not applicable,"$50,001 to $75,000",Focusing,
1,France,Software,,Engineering,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to have a flexible schedule,,4 weeks,4 weeks,Home,,,Music school,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,26 to 50%,No,No,Yes,Partially,"Retreats, trip to the office, seminary, cofference",Not applicable,Not applicable,"$50,001 to $75,000","Having more time for me, my family and friends",
1,France,Software,,Engineering,,Senior level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Ability to work from home,,5 weeks,5 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,51 to 75%,No,No,No,No,"Laptop
Collaboration software licences",Not applicable,Not applicable,"$75,001 to $100,000","Unplugging is hard
Asynchronous communication requires training",
1,France,IT and Services,,Engineering,,Professional level,1 year to 4 years,26 to 50%,I would like to work remotely more often.,1,1,Difficulties with collaboration and communication,,Ability to have a flexible schedule,,5 weeks,5 weeks,Home,,Not applicable,,Never,Employee,,At my company we can work remotely a certain number of days per week/month,"More than 1,001",1 to 25%,Partially,No,No,No,"Heating and electricity, partially",Not applicable,Not applicable,"$25,001 to $50,000",Being more productive and not being distracted,
1,France,IT and Services,,Engineering,,Professional level,Less than six months,1 to 25%,I would like to work remotely more often.,1,1,Not being able to unplug,,Not having to commute,,2 weeks,5 weeks,Company's office,,Home,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,11 to 50,76 to 99%,No,No,Yes,No,,Not applicable,Not applicable,"$50,001 to $75,000",,
1,France,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Flexibility to work from any location,,3 weeks,5 weeks,Home,,,Friends places,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,No,no,Not applicable,Not applicable,"$75,001 to $100,000",Agility and efficiency,
1,France,Travel and Tourism,,Design,,Senior level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Not having to commute,,3 weeks,5 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,51 to 75%,No,No,Yes,No,"Screen, keyboard, test phone",Between $1 and $5,Between $1 and $100,"$100,000 to $125,000",,
1,France,Software,,Product,,Senior level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Flexibility to work from any location,,5 weeks,5 weeks,Home,,,Friend's house,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,Fewer than 10,76 to 99%,No,No,No,No,,Between $1 and $5,Not applicable,"$75,001 to $100,000",,
1,France,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,,Missing friendly colleagues after seminaries,Ability to have a flexible schedule,,5 weeks,5 weeks,Home,,,Colleagues and Friends' place,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,76 to 99%,No,No,Partially,No,"Devices and Desktop screen are paid by my company, same for travel expenses",Not applicable,Not applicable,"$50,001 to $75,000",It's easy and so convenient,Remote work is life.
1,France,Software,,Engineering,,Senior level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Not having to commute,,More than 6 weeks,5 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,26 to 50%,No,Partially,Partially,No,,Not applicable,Not applicable,"$100,000 to $125,000","The lack of direct feedback. When you work in an office, there's constant implicit feedback about what you do and how well you perform. When you work remotely, most of the times you'll just have silence when everything works well. Can be very tough to have an idea of your daily performance, and a bit stressful.

Gets better after 1 or 2 years","Remote work success is mostly about company culture. Working remotely one day a week in a company that relies a lot (often implicitly) on RL communication doesn't work well, because there's important communication channels that you won't have access to when you're home. You miss decisions, casual discussions etc. 

Building a remote-friendly company means that everything is written down, and communication is mostly async. Even for casual conversations. 

You can keep an office with non-remote people, but you got to ack that they will live in a different universe than the remotees, which will create different, possibly conflicting cultures

And as remote working is still wildly viewed as a privilege, these cultural differences can easily lead to clanification/conflicts"
